16384,32,4,8,1,1
16384,48,4,8,1,1
16384,64,4,8,1,1
16384,80,4,8,1,1
16384,96,4,8,1,1
16384,112,4,8,1,1
16384,128,4,8,1,1
16384,144,4,8,1,1
16384,160,4,8,1,1
16384,176,4,8,1,1
16384,192,4,8,1,1
16384,208,4,8,1,1
16384,224,4,8,1,1
16384,240,4,8,1,1
16384,256,4,8,1,1
16384,272,4,8,1,1
16384,288,4,8,1,1
16384,304,4,8,1,1
16384,320,4,8,1,1
16384,336,4,8,1,1
16384,352,4,8,1,1
16384,368,4,8,1,1
16384,384,4,8,1,1
16384,400,4,8,1,1
16384,416,4,8,1,1
16384,432,4,8,1,1
16384,448,4,8,1,1
16384,464,4,8,1,1
16384,480,4,8,1,1
16384,496,4,8,1,1
16384,512,4,8,1,1
