1,64,20,20,1,1
2,64,20,20,1,1
4,64,20,20,1,1
8,64,20,20,1,1
16,64,20,20,1,1
32,64,20,20,1,1
64,64,20,20,1,1
128,64,20,20,1,1
256,64,20,20,1,1
512,64,20,20,1,1
1024,64,20,20,1,1
2048,64,20,20,1,1
4096,64,20,20,1,1
8192,64,20,20,1,1
16384,64,20,20,1,1
32768,64,20,20,1,1
65536,64,20,20,1,1
131072,64,20,20,1,1
262144,64,20,20,1,1
524288,64,20,20,1,1
1048576,64,20,20,1,1
2097152,64,20,20,1,1
4194304,64,20,20,1,1
8388608,64,20,20,1,1
16777216,64,20,20,1,1
33554432,64,20,20,1,1
67108864,64,20,20,1,1
134217728,64,20,20,1,1
