65536,32,1,32,1,1,,Problem Size,Block_Size,P,Q,Lookahead,L_Depth
65536,32,2,16,1,1,,,,,,,
65536,32,4,8,1,1,,,,,,,
65536,32,8,4,1,1,,,,,,,
65536,32,16,2,1,1,,,,,,,
65536,32,32,1,1,1,,,,,,,
65536,64,1,32,1,1,,,,,,,
65536,64,2,16,1,1,,,,,,,
65536,64,4,8,1,1,,,,,,,
65536,64,8,4,1,1,,,,,,,
65536,64,16,2,1,1,,,,,,,
65536,64,32,1,1,1,,,,,,,
65536,128,1,32,1,1,,,,,,,
65536,128,2,16,1,1,,,,,,,
65536,128,4,8,1,1,,,,,,,
65536,128,8,4,1,1,,,,,,,
65536,128,16,2,1,1,,,,,,,
65536,128,32,1,1,1,,,,,,,
65536,256,1,32,1,1,,,,,,,
65536,256,2,16,1,1,,,,,,,
65536,256,4,8,1,1,,,,,,,
65536,256,8,4,1,1,,,,,,,
65536,256,16,2,1,1,,,,,,,
65536,256,32,1,1,1,,,,,,,
65536,512,1,32,1,1,,,,,,,
65536,512,2,16,1,1,,,,,,,
65536,512,4,8,1,1,,,,,,,
65536,512,8,4,1,1,,,,,,,
65536,512,16,2,1,1,,,,,,,
65536,512,32,1,1,1,,,,,,,
65536,1024,1,32,1,1,,,,,,,
65536,1024,2,16,1,1,,,,,,,
65536,1024,4,8,1,1,,,,,,,
65536,1024,8,4,1,1,,,,,,,
65536,1024,16,2,1,1,,,,,,,
65536,1024,32,1,1,1,,,,,,,
